Name,Institute,Country,Year
"Fischer, Christian","University of Giessen, Germany","","2025"
"Sogabe, Noriyuki","University of Illinois Chicago","","2025"
"Thapa, Sabin","","","2025"
"Li, Hongcan","","","2025"
"Manca, Giulia","Universita` degli studi di Cagliari and INFN, Cagliari, IT","","2025"
"Lesser, Ezra","CERN","","2025"
"Durham, John Matthew","Los Alamos National Laboratory","","2025"
"De Angelis, Camilla","Universita e INFN, Cagliari (IT)","","2025"
"Hu, Qipeng","University of Science and Technology of China (CN)","","2025"
"Shemyakin, Dmitry","Weizmann Institute of Science (IL)","","2025"
"Novotny, Patrik","Weizmann Institute of Science (IL)","","2025"
"Gasik, Piotr","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2025"
"Vovchenko, Volodymyr","University of Houston","","2025"
"Averbeck, Ralf","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2025"
"Andres, Carlota","MIT","","2025"
"Shen, Diyu","","","2025"
"Kanakubo, Yuuka","RIKEN iTHEMS / Lawrence Berkeley National Laboratory","","2025"
"Van Der Schee, Wilke","CERN","","2025"
"Plumari, Salvatore","","","2025"
"Sun, KaiJia","Institute of Modern Physics, Fudan University, Shanghai, China","","2025"
"Botvina, Alexander","ITP, University of Frankfurt am Main","","2025"
"Karthein, Jamie","MIT","","2025"
"Chelnokov, Volodymyr","Goethe Universität","","2025"
"Wong, Chik Him","","","2025"
"Balek, Petr","AGH University of Krakow (PL)","","2025"
"Rybar, Martin","Charles University (CZ)","","2025"
"Vana, Pavel","Charles University (CZ)","","2025"
"Pauwels, Franciszek","Charles University (CZ)","","2025"
"Mlynarski, Luthien","AGH University of Krakow (PL)","","2025"
"Das, Sruthy Jyothi","University of Illinois at Chicago (US)","","2025"
"Ye, Yunxin","","","2025"
"Bhambure, Jay","Stony Brook University","","2025"
"SINGH, RAJEEV","Universite Blaise Pascal","","2025"
"Teaney, Derek","","","2025"
"Barrera Cabodevila, Sergio","Instituto Galego de Física de Altas Enerxías - Universidade de Santiago de Compostela","","2025"
"Mehtar-Tani, Yacine","Brookhaven National Laboratory","","2025"
"Mullins, Nicki","","","2025"
"Pirelli, Ludovica","Bergische Universität Wuppertal","","2025"
"Mazeliauskas, Aleksas","Heidelberg University (DE)","","2025"
"Roch, Hendrik","Wayne State University","","2025"
"Smith, Krista Lizbeth","Pusan National University (ROK)","","2025"
"Wang, Kaiyang","University of Science and Technology of China","","2025"
"Huang, Xiao","Rice University (US)","","2025"
"Chen, Yu-Chen (Janice)","Massachusetts Institute of Technology","","2025"
"Kłusek-Gawenda, Mariola","IFJ PAS","","2025"
"Gilbert, Benjamin Jacob","Lawrence Livermore Nat. Laboratory (US)","","2025"
"Dyndal, Mateusz","AGH University of Krakow","","2025"
"Filova, Vendulka","Czech Technical University  in Prague (CZ)","","2025"
"Nese, Sigurd","University of Oslo (NO)","","2025"
"Shen, Chun","Wayne State University","","2025"
"Ke, Weiyao","Central China Normal University","","2025"
"Garcia Montero, Oscar Jesús","","","2025"
"Zhang, Chunjian","Fudan University","","2025"
"Dattamunsi, Aryaa","Indian Institute of Technology Madras (IN)","","2025"
"Nigmatkulov, Grigory","University of Illinois Chicago","","2025"
"Mäntysaari, Heikki","University of Jyväskylä","","2025"
"Schmidt, Kayran","","","2025"
"Lindenbauer, Florian","TU Wien","","2025"
"Niemi, Harri","University of Jyväskylä","","2025"
"Hirvonen, Henry","Vanderbilt University","","2025"
"Auvinen, Jussi","University of Jyväskylä","","2025"
"Eskola, Kari J.","University of Jyväskylä (FI)","","2025"
"Kuha, Mikko","","","2025"
"Grabowska-Bold, Iwona","AGH University of Krakow (PL)","","2025"
"Nielsen, Emil Gorm","University of Copenhagen (DK)","","2025"
"Corredoira Fernandez, Imanol","Université Paris-Saclay (FR)","","2025"
"Yan, Li","Fudan University","","2025"
"Lisa, Michael","","","2025"
"Khyzhniak, Yevheniia","","","2025"
"Jiang, Xialei","Central China Normal University","","2025"
"Luong, Vinh","Joint Institute for Nuclear Research","","2025"
"Maietto Silverio, Isabela","UNESP - Universidade Estadual  Paulista (BR)","","2025"
"Parra, Jonathan","University of Houston","","2025"
"Huovinen, Pasi","University of Wroclaw","","2025"
"Saha, Swati","National Institute of Science  Education and Research (NISER) (IN)","","2025"
"Šerkšnytė, Laura","CERN","","2025"
"Zhang, Biao","Heidelberg university(DE)","","2025"
"Nabroth, Marvin","","","2025"
"Zhang, Kehao","","","2025"
"Parida, Tribhuban","IISER Berhampur","","2025"
"Kuznietsov, Volodymyr","","","2025"
"Mackowiak-Pawlowska, Maja","Warsaw University of Technology (PL)","","2025"
"Bhatta, Somadutta","Stony Brook University (US)","","2025"
"Heybeck, Benedict","Goethe University Frankfurt (DE)","","2025"
"Collaboration, JETSCAPE","","","2025"
"Jheng, Hao-Ren","Massachusetts Inst. of Technology (US)","","2025"
"Singh, Rohit Kumar","Indian Institute of Technology Madras (IN)","","2025"
"Liu, Xiaoyu","Rice University (US)","","2025"
"Gardim, Fernando","Federal University of Alfenas","","2025"
"Capellino, Federica","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2025"
"Belin, Samuel","Universidade de Santiago de Compostela (ES)","","2025"
"RAV SHARMA, SHARANG","IISER Tirupati","","2025"
"Yan, Zhengxi","","","2025"
"Dash, Ashutosh","","","2025"
"William Luzum, Matthew","University of São Paulo","","2025"
"Sarkar, Debojit","Niels Bohr Institute, University of Copenhagen, Denmark","","2025"
"Lu, Zhiyong","China Institute of Atomic Energy (CN)","","2025"
"Zhang, Chi","Université Paris-Saclay (FR)","","2025"
"Danhoni, Isabella","","","2025"
"Gavassino, Lorenzo","","","2025"
"Peters, Michael Joseph","Massachusetts Inst. of Technology (US)","","2025"
"Bold, Tomasz","AGH University of Krakow (PL)","","2025"
"Potepa, Patrycja Anna","AGH University of Krakow (PL)","","2025"
"Udrea, Iuliana-Carina","Technische Universität Darmstadt","","2025"
"Coquet, Maurice","Centre National de la Recherche Scientifique (FR)","","2025"
"Wu, Xiang-Yu","McGill University","","2025"
"Luo, Jiaxuan","","","2025"
"Gonzalez, Jose Francisco","University of California Davis (US)","","2025"
"Konig, Joshua Leon","Goethe University Frankfurt (DE)","","2025"
"Atchison, Joseph","Abilene Christian University","","2025"
"Góes-Hirayama, Renan","Frankfurt Institute for Advanced Studies","","2025"
"Eisenhut, Florian","Goethe University Frankfurt (DE)","","2025"
"Schild, Niklas","","","2025"
"bao, xianwen","","","2025"
"David, Gabor","","","2025"
"Shovkovy, Igor","Arizona State University","","2025"
"Viinikainen, Jussi","Vanderbilt University (US)","","2025"
"Park, Jaebeom","","","2025"
"Mayo López, Xoán","Universidade de Santiago de Compostela - IGFAE","","2025"
"Martins da Silva, João","LIP - Lisboa / ULisboa - IST","","2025"
"Kalipoliti, Lida","LLR, École Polytechnique (FR)","","2025"
"Lee, Yen-Jie","Massachusetts Inst. of Technology (US)","","2025"
"Chen, Yi","Vanderbilt University (US)","","2025"
"Pablos, Daniel","IGFAE, USC","","2025"
"Takacs, Adam","Heidelberg University","","2025"
"Tywoniuk, Konrad","University of Bergen (NO)","","2025"
"Cordeiro, André","LIP/IST","","2025"
"Zapp, Korinna","","","2025"
"Fu, Yu","Duke university","","2025"
"Cantway, Sierra","Yale University (US)","","2025"
"Dale-Gau, Gabe","University of Illinois at Chicago","","2025"
"Zhang, Sijie","University of Science and Technology of China","","2025"
"Dhankher, Preeti","University of California Berkeley (US)","","2025"
"Zardoshti, Nima","CERN","","2025"
"Sanjurjo, Sergio","Perimeter Institute","","2025"
"Wang, Xin-Nian","Lawrence Berkeley National Lab. (US)","","2025"
"Bailey, Virginia","Georgia State University","","2025"
"Mohapatra, Soumya","Columbia University (US)","","2025"
"Derendarz, Dominik Karol","Polish Academy of Sciences (PL)","","2025"
"Rai, Ananya","Yale University (US)","","2025"
"Nambrath, Anjali","University of California Berkeley (US)","","2025"
"Lamas, Carlos","IGFAE-USC","","2025"
"Holguin, Jack","","","2025"
"Kunnawalkam Elayavalli, Raghav","Vanderbilt University","","2025"
"Kudinoor, Arjun Srinivasan","Massachusetts Institute of Technology","","2025"
"Hoppesch, Matthew Caleb","University of Illinois at Urbana-Champaign","","2025"
"Bhide, Kartik Deepak","University of Freiburg (DE)","","2025"
"Shahrbaf, Mahboubeh","","","2025"
"Stanek-Maslouska, Weronika","Deutsches Elektronen-Synchrotron (DE)","","2025"
"Li, Wei","Rice University (US)","","2025"
"Sushama Pradeep, Maneesha","","","2025"
"Adam, Alexander","Bergische Universität Wuppertal","","2025"
"Guenther, Jana N.","University of Wuppertal","","2025"
"Sweger, Zachary","University of California, Davis","","2025"
"Goswami, Jishnu","Bielefeld University","","2025"
"Huang, Yige","","","2025"
"Feng, HANWEN","Central China Normal University","","2025"
"Shah, Hitansh","","","2025"
"Mitra, Sabarnya","Bielefeld University","","2025"
"Fokin, Ilya","Heidelberg University (DE)","","2025"
"Vazquez Rueda, Omar","University of Houston (US)","","2025"
"Zhou, Kai","CUHK-Shenzhen","","2025"
"Schaefer, Thomas","","","2025"
"Singh, Mayank","Vanderbilt University","","2025"
"Yuan, Weiguang","Tsinghua University","","2025"
"Ditzel, Janik","Goethe University Frankfurt (DE)","","2025"
"Kim, Junlee","CERN","","2025"
"zhou, yingjie","","","2025"
"Wang, Yili","Peking University","","2025"
"Balkova, Yuliia","University of Silesia (PL)","","2025"
"Mahlein, Maximilian","Technische Universitaet Muenchen (DE)","","2025"
"Triolo, Andrea Sofia","University of Messina (IT),  INFN Catania (IT)","","2025"
"Spies, Simon","Johann-Wolfgang-Goethe Univ. (DE)","","2025"
"Brewer, Jasmine Therese","University of Oxford (GB)","","2025"
"Schenke, Bjoern","Brookhaven National Lab","","2025"
"Saha, Nihar Ranjan","Indian Institute of Technology Madras (IN)","","2025"
"Chandra, Soumik","Purdue University (US)","","2025"
