Name,Institute,Country,Year
"Gelis, Francois","","","2014"
"Sickles, Anne","Brookhaven","","2014"
"Ding, Heng-Tong","Brookhaven National Lab","","2014"
"Galatyuk, Tetyana","Goethe University / EMMI","","2014"
"Cole, Brian","Columbia University (US)","","2014"
"Xiaochun, He","Georgia State University","","2014"
"Grosse-Oetringhaus, Jan Fiete","CERN","","2014"
"Granier De Cassagnac, Raphael","Ecole Polytechnique (FR)","","2014"
"Xu, Nu","LBNL","","2014"
"Connors, Megan Elizabeth","Yale University (US)","","2014"
"Lakomov, Igor","Universite de Paris-Sud 11 (FR)","","2014"
"Sun, Xu","Lawrence Berkeley National Laboratory","","2014"
"Ullrich, Thomas","Yale University (US)","","2014"
"Watts, Anna","","","2014"
"Wertepny, Douglas","The Ohio State University","","2014"
"Innocenti, Gian Michele","Massachusetts Inst. of Technology (US)","","2014"
"Bannier, Benjamin","Stony Brook University","","2014"
"Petersen, Hannah","","","2014"
"Scomparin, Enrico","Universita e INFN (IT)","","2014"
"Reygers, Klaus Johannes","Ruprecht-Karls-Universitaet Heidelberg (DE)","","2014"
"Hamagaki, Hideki","University of Tokyo (JP)","","2014"
"Hatsuda, Tetsuo","Unknown","","2014"
"Thaeder, Jochen","Technische Universitaet Darmstadt (DE)","","2014"
"Stachel, Johanna","Ruprecht-Karls-Universitaet Heidelberg (DE)","","2014"
"Braun-Munzinger, Peter","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2014"
"Sasaki, Chihiro","","","2014"
"Janik, Romuald","","","2014"
"Bratkovskaya, Elena","FIAS","","2014"
"Ruan, Lijuan","","","2014"
"Jia, Jiangyong","State University of New York (US)","","2014"
"Ghiglieri, Jacopo","Technische Universitaet Muenchen","","2014"
"Chattopadhyay, Subhasis","Department of Atomic Energy (IN)","","2014"
"Niemi, Harri","University of Jyväskylä","","2014"
"Wiese, Uwe-Jens","Universität Bern","","2014"
"Schweda, Kai","Physikalisches Institut - Ruprecht-Karls-Universitat Heidelberg","","2014"
"Renk, Thorsten","University of Jyväskylä","","2014"
"Van Leeuwen, Marco","University of Utrecht (NL)","","2014"
"Ratti, Claudia","Wuppertal University","","2014"
"Kalweit, Alexander Philipp","CERN","","2014"
"Loizides, Constantinos","Lawrence Berkeley National Lab. (US)","","2014"
"van Hees, Hendrik","Goethe University Frankfurt","","2014"
"Frank, Wilczek","MIT","","2014"
"Wilczek, Frank","MIT","","2014"
"Jaiswal, Amaresh","Tata Institute of Fundamental research, Mumbai","","2014"
"Huovinen, Pasi","Johann Wolfgang Goethe-Universität","","2014"
"Fukushima, Kenji","Keio University","","2014"
"Beraudo, Andrea","Universidade de Santiago de Compostela (ES)","","2014"
"Kweon, Min Jung","Inha University (KR)","","2014"
"Schmah, Alexander","Lawrence Berkeley National Lab","","2014"
"Andronic, Anton","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2014"
"Floris, Michele","CERN","","2014"
"Pawlowski, Jan M.","University of Heidelberg","","2014"
"WERNER, Klaus","subatech","","2014"
"Kitazawa, Masakiyo","Osaka University","","2014"
"Lee, Yen-Jie","Massachusetts Inst. of Technology (US)","","2014"
"Qin, Guang-You","Central China Normal University","","2014"
"Sharma, Sayantan","Uni Bielefeld","","2014"
"Schuster, Tim","Yale University (US)","","2014"
"Marrochio, Hugo","U","","2014"
"Bergner, Georg","","","2014"
