Name,Institute,Country,Year
"Aduszkiewicz, Antoni","University of Warsaw (PL)","","2017"
"Schmah, Alexander","Lawrence Berkeley National Lab","","2017"
"McGlinchey, Darren","University of Colorado","","2017"
"Lorenz, Manuel","University Frankfurt","","2017"
"Schukraft, Jürgen","CERN","","2017"
"Timmins, Anthony Robert","University of Houston (US)","","2017"
"Jia, Jiangyong","State University of New York (US)","","2017"
"Zapp, Korinna Christine","Instituto Superior Tecnico (PT)","","2017"
"Zajc, William","Columbia University","","2017"
"Bazavov, Alexei","Michigan State University","","2017"
"Alqahtani, Mubarak","Kent State University","","2017"
"Jiang, Zefang","CCNU","","2017"
"Nopoush, Mohammad","Kent State University","","2017"
"Danisch, Meike Charlotte","Ruprecht-Karls-Universitaet Heidelberg (DE)","","2017"
"Salehi Kasmaei, Babak","Kent State University","","2017"
"Rossi, Andrea","Universita e INFN, Padova (IT)","","2017"
"Yang, Qian","University of Science and Technology of China","","2017"
"Tannenbaum, Michael","Brookhaven National Laboratory (US)","","2017"
"Sugiura, Tetsuro","University of Tsukuba, Japan","","2017"
"Orjuela Koop, Javier","University of Colorado Boulder","","2017"
"Hoshino, Tomoya","","","2017"
"Gauger, Erin Frances","University of Texas (US)","","2017"
"Anderson, Derek","Cyclotron Institute, Texas A&M University","","2017"
"Bagoly, Attila","Eötvös Loránd University","","2017"
"Herrmann, Florian","Westfaelische Wilhelms-Universitaet Muenster (DE)","","2017"
"Epple, Eliane","Yale University","","2017"
"Bok, Jeongsu","New Mexico State University","","2017"
"Ehlers, Raymond","Yale University (US)","","2017"
"Apadula, Nicole","","","2017"
"Geurts, Frank","Rice University (US)","","2017"
"Sarsour, Murad","Georgia State University","","2017"
"Zhang, Shenghui","USTC","","2017"
"CHERIF, Hamda","GSI","","2017"
"Shigaki, Kenta","Hiroshima University (JP)","","2017"
"Li, Meijian","Iowa State University","","2017"
"Yano, Satoshi","Hiroshima University (JP)","","2017"
"Zha, Wangmei","USTC/BNL","","2017"
"Audurier, Benjamin","Subatech Laboratory, Nantes, France","","2017"
"Kim, Dong Jo","University of Jyvaskyla (FI)","","2017"
"Kvapil, Jakub","Czech Technical University in Prague","","2017"
"Terrevoli, Cristina","Universita e INFN, Padova (IT)","","2017"
"Bourjau, Christian","University of Copenhagen (DK)","","2017"
"Trzeciak, Barbara Antonina","Utrecht University","","2017"
"Scheid, Horst Sebastian","Johann-Wolfgang-Goethe Univ. (DE)","","2017"
"Deppner, Ingo-Martin","Physikalisches Institut der Universität Heidelberg","","2017"
"SINGH, CAPTAIN R.","BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE","","2017"
"Kim, Hyeonjoong","Yonsei University (KR)","","2017"
"Hellbar, Ernst","Johann-Wolfgang-Goethe Univ. (DE)","","2017"
"Aoyama, Ryo","University of Tsukuba","","2017"
"Dillenseger, Pascal","Johann-Wolfgang-Goethe Univ. (DE)","","2017"
"Sakamoto, Tomoko","Nara Women's University (JP)","","2017"
"Oh, Saehanseul","Yale University (US)","","2017"
"Nie, Maowu","Shanghai Institute of Applied Physics (SINAP)","","2017"
"Bryslawskyj, Jason","","","2017"
"Huhn, Patrick","Johann-Wolfgang-Goethe Univ. (DE)","","2017"
"Blair, Justin Thomas","University of Texas (US)","","2017"
"Miller, Zachariah","University of Illinois at Chicago","","2017"
"Niida, Takafumi","Wayne State University","","2017"
"Haseler, Tristan","Georgia State University","","2017"
"Krouppa, Brandon","Kent State University","","2017"
"Tapia Araya, Sebastian","Federico Santa Maria Technical University (CL)","","2017"
"Chen, Jing","University of Science and  Technology of China (CN)","","2017"
"Puri, Akshat","Univ. Illinois at Urbana-Champaign (US)","","2017"
"Oliver, Michael Henry","Yale University (US)","","2017"
"Behera, Arabinda","State University of New York (US)","","2017"
"Phipps, Michael William","Univ. Illinois at Urbana-Champaign (US)","","2017"
"Hill, Kurt Keys","University of Colorado Boulder (US)","","2017"
"Patel, Milap","","","2017"
"Puccio, Maximiliano","Universita e INFN Torino (IT)","","2017"
"Perez Lara, Carlos Eugenio","Stony Brook University","","2017"
"Perez, Carlos","NIKHEF","","2017"
"Perez Lara, Carlos","Universita & INFN, Torino-Unknown-Unknown","","2017"
"Konyushikhin, Maxim","Wayne State University (US)","","2017"
"Adams, Joseph","The Ohio State University","","2017"
"Fan, Wenqing","Stony Brook University","","2017"
"Rinn, Timothy","Iowa State University","","2017"
"Sett, Priyanka","IIT- Indian Institute of Technology (IN)","","2017"
"Kekelidze, Vladimir","Joint Institute for  Nuclear Research (RU)","","2017"
"Tanaka, Naoto","University of Tsukuba (JP)","","2017"
"Tripathy, Sushanta","Indian Institute of Technology  Indore (IN)","","2017"
"Bailey, Virginia Ruth","UIUC","","2017"
"Taranenko, Arkadiy","National Research Nuclear  University MEPhI (RU)","","2017"
"Agrawal, Neelima","IIT- Indian Institute of Technology (IN)","","2017"
"Song, Jihye","Pusan National University (KR)","","2017"
"Attri, Anjali","Panjab University","","2017"
"Gronefeld, Julius Maximilian","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2017"
"Lapidus, Kirill","Yale University (US)","","2017"
"Nagle, James Lawrence","University of Copenhagen (DK)","","2017"
"Sen, Abhisek","Georgia State University","","2017"
"Pun, Abinash Pun","Ohio University","","2017"
"Perez Lezama, Edgar","Johann-Wolfgang-Goethe Univ. (DE)","","2017"
"Tarafdar, Sourav","Vanderbilt University (US)","","2017"
"Tlusty, David","Rice University","","2017"
"Purschke, Martin Lothar","Brookhaven National Laboratory (US)","","2017"
"Mannel, Eric","Brookhaven National Labs","","2017"
"Sakaguchi, Takao","BNL","","2017"
"Kim, Chong","","","2017"
"Yu, Haiwang","New Mexico State University","","2017"
"Dobrin, Alexandru Florin","CERN","","2017"
"Jowzaee, Sedigheh","Wayne State University","","2017"
"Moreau, Pierre","Frankfurt Institute of Advanced Studies","","2017"
"Holzmann, Romain","GSI","","2017"
"Dexheimer, Veronica","Kent State University","","2017"
"Dexheimer, Verônica","Kent State University","","2017"
"Shen, Chun","Brookhaven National Laboratory","","2017"
"Wang, Quan","The University of Kansas (US)","","2017"
"Günther, Jana","University of Wuppertal","","2017"
"Castle, James Robert","The University of Kansas (US)","","2017"
"Karpenko, Iurii","Frankfurt Institute for Advanced Studies","","2017"
"Tribedy, Prithwish","Brookhaven National Lab","","2017"
"Gajdosova, Katarina","University of Copenhagen (DK)","","2017"
"Xu, Qiao","Vanderbilt University (US)","","2017"
"Velkovska, Julia","Vanderbilt University (US)","","2017"
"Tu, Zhoudunming","Rice University (US)","","2017"
"Clark, Michael Ryan","Columbia University (US)","","2017"
"Rustamov, Anar","National Nuclear Research Center (AZ)","","2017"
"Nahrgang, Marlene","Subatech","","2017"
"Germain, Marie","Subatech, IN2P3-CNRS (FR)","","2017"
"Vujanovic, Gojko","The Ohio State University","","2017"
"Sharma, Deepali","Stony Brook University","","2017"
"Galatyuk, Tetyana","TU Darmstadt / GSI","","2017"
"Martinengo, Paolo","CERN","","2017"
"Connors, Megan Elizabeth","Yale University (US)","","2017"
"Steinberg, Peter Alan","Brookhaven National Laboratory (US)","","2017"
"Citron, Zvi","Weizmann Institute of Science (IL)","","2017"
"Mazer, Joel Anthony","University of Tennessee (US)","","2017"
"Liao, Jinfeng","Indiana University","","2017"
"Chen, Yi","CERN","","2017"
"Trauger, Hallie Causey","University of Illinois at Chicago (US)","","2017"
"Jung, Kurt Eduard","University of Illinois at Chicago (US)","","2017"
"Mehtar-Tani, Yacine","INT, University of Washington","","2017"
"CHEN, WEI","CCNU","","2017"
"Guo, Xingyu","Tsinghua University","","2017"
"Czajka, Alina","McGill University","","2017"
"Kharzeev, Dmitri","Stony Brook University and BNL","","2017"
