Name,Institute,Country,Year
"McGlinchey, Darren","University of Colorado","","2015"
"Tachibana, Motoi","Saga Univ.","","2015"
"Rowan, Zachary","CUNY Baruch","","2015"
"Nakagomi, Hiroshi","Tsukuba University","","2015"
"Xu, Nu","LBNL","","2015"
"Begun, Viktor","UJK","","2015"
"Sorin, Alexander","Joint Institute for Nuclear Research, Dubna","","2015"
"Hu, Qipeng","University of Science and Technology of China (CN)","","2015"
"somorendro singh, shougaijam","University of delhi","","2015"
"Yang, Shuai","University of Science and Technology of China","","2015"
"Vislavicius, Vytautas","Lund University (SE)","","2015"
"Sen, Abhisek","Georgia State University","","2015"
"Pisarski, Robert","Brookhaven National Lab.","","2015"
"Bautista, Irais","Autonomous University of Puebla (MX)","","2015"
"Grebieszkow, Katarzyna","Warsaw University of Technology (PL)","","2015"
"Suzuki, Asobu","University of Tsukuba","","2015"
"Lebedev, Alexandre","Iowa State University","","2015"
"Gavai, Rajiv V","Tata Institute, Mumbai, India","","2015"
"Jena, Deepika","Panjab University (IN)","","2015"
"Tywoniuk, Konrad","Universitat de Barcelona","","2015"
"Palni, Prabhakar","Central China Normal University  CCNU (CN)","","2015"
"Bertens, Redmer Alexander","Nikhef National institute  for subatomic physics (NL)","","2015"
"Zimmermann, Alice","Ruprecht-Karls-Universitaet Heidelberg (DE)","","2015"
"Yano, Satoshi","Hiroshima University (JP)","","2015"
"Begum, Umme Jamil","Debraj Roy College, Golaghat, Assam, India","","2015"
"Nayak, Tapan","Department of Atomic Energy (IN)","","2015"
"Sako, Hiroyuki","ASRC/J-PARC, Japan Atomic Energy Agency","","2015"
"Horst, Stoecker","GSI Helmholzentrum fuer Schwerionenforschung GmbH","","2015"
"Gossiaux, Pol","Subatech","","2015"
"Brandenburg, James","Rice University","","2015"
"Masuda, Kota","The Univ. of Tokyo / RIKEN","","2015"
"Speranza, Enrico","GSI Helmholtzzentrum fuer Schwerionenforschung, and Technische Universitaet Darmstadt, Darmstadt, Germany","","2015"
"Tieulent, Raphael","Universite Claude Bernard-Lyon I (FR)","","2015"
"aichelin, joerg","Subatech/CNRS","","2015"
"Grossi, Eduardo","University of Florence & INFN Florence","","2015"
"Fries, Rainer","Texas A&M University","","2015"
"Rothkopf, Alexander","Heidelberg University","","2015"
"Akamatsu, Yukinao","Stony Brook University","","2015"
"Perez Lara, Carlos Eugenio","Stony Brook University","","2015"
"HADES Collaboration, -","speaker to be announced","","2015"
"Stroth, Joachim","Johann-Wolfgang-Goethe Univ. (DE)","","2015"
"Nie, Maowu","Shanghai Institute of Applied Physics (SINAP)","","2015"
"Kurita, Ryuichi","Univ. of Tokyo","","2015"
"PATEL, SMRUTI","","","2015"
"Watanabe, Kazuhiro","Central China Normal University","","2015"
"YE, ZAOCHEN","UNIVERSITY OF ILLINOIS AT CHICAGO","","2015"
"Sadofyev, Andrey","MIT","","2015"
"Yu, Ning","Central China Normal University CCNU","","2015"
"Ma, Long","Shanghai Institute of Applied Physics and Lawrence Berkeley National Laboratory","","2015"
"Tuturas, Nicolae George","Atomic and Nuclear Physics Chair, Department of Structure of Matter, Earth and Atmosphere Physics, Astrophysics, Faculty of Physics, University of Bucharest, ROMANIA","","2015"
"Kumar, Yogesh","University of Delhi, Sri Aurobindo College","","2015"
"Colamaria, Fabio Filippo","Universita e INFN, Bari (IT)","","2015"
"Xie, Guannan","LBNL/USTC","","2015"
"Schuldes, Heidi","Goethe-University Frankfurt","","2015"
