Name,Institute,Country,Year
"Conesa Del Valle, Zaida","CERN","","2012"
"Rosati, Marzia","Iowa State University","","2012"
"Scomparin, Enrico","Universita e INFN (IT)","","2012"
"Mironov, Camelia","Ecole Polytechnique (FR)","","2012"
"O'Brien, Edward","BNL","","2012"
"Tserruya, Itzhak","Weizmann Institute of Science (IL)","","2012"
"Petersen, Hannah","","","2012"
"Lisa, Mike","Ohio State University (US)","","2012"
"Zajc, Bill","Columbia University","","2012"
"huang, shengli","PHENIX Collaboration","","2012"
"Armesto Perez, Nestor","Universidade de Santiago de Compostela (ES)","","2012"
"Chesler, Paul","MIT","","2012"
"Ivanov, Marian","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2012"
"McCumber, Michael","University of Colorado","","2012"
"Xie, Wei","Purdue University (US)","","2012"
"Bauer, Wolfgang","Distinguished University Professor, Michigan State University","","2012"
"Lee, Yen-Jie","CERN","","2012"
"Schenke, Bjoern","Brookhaven National Lab","","2012"
"Stephanov, Misha","UIC","","2012"
"Plait, Phil","","","2012"
"Sorensen, Paul","BNL","","2012"
"Lopez Albacete, Javier","IPhT-CEA","","2012"
"Hippolyte, Boris","Institut Pluridisciplinaire Hubert  Curien (FR)","","2012"
"Rischke, Dirk","University Frankfurt","","2012"
"Gale, Charles","McGill University","","2012"
"Ruan, Lijuan","","","2012"
"Milov, Alexander","Weizmann Institute of Science (IL)","","2012"
"Casalderrey Solana, Jorge","University of Barcelona (ES)","","2012"
"Safarik, Karel","CERN","","2012"
"Appelshaeuser, Harald","Johann-Wolfgang-Goethe Univ. (DE)","","2012"
"Ollitrault, Jean-Yves","CNRS","","2012"
"Gordon, Bart","","","2012"
"Dong, Xin","LBNL","","2012"
"Sakaguchi, Takao","BNL","","2012"
"Wiedemann, Urs","CERN","","2012"
"Dusling, Kevin","","","2012"
"Dumitru, Adrian","Baruch College (City University of New York)","","2012"
"Roland, Gunther","Massachusetts Inst. of Technology (US)","","2012"
"Wosiek, Barbara Krystyna","Polish Academy of Sciences (PL)","","2012"
"Wysocki, Matthew","University of Colorado at Boulder","","2012"
"Granier De Cassagnac, Raphael","Ecole Polytechnique (FR)","","2012"
"Geurts, Frank","Rice University (US)","","2012"
"Hatsuda, Tetsuo","Unknown","","2012"
"Wang, Gang","UCLA","","2012"
"kumar, lokesh","Kent State University","","2012"
"Nagle, Jamie","University of Colorado","","2012"
"Yee, Ho-Ung","SUNY, Stony Brook","","2012"
"Deshpande, Abhay","Stony Brook University","","2012"
"Steinberg, Peter Alan","Brookhaven National Laboratory (US)","","2012"
"Marquet, Cyrille","Theory Division - CERN","","2012"
"Marquet, Cyrille Michel","Universidade de Santiago de Compostela (ES)","","2012"
"Adare, Andrew Marshall","Yale University (US)","","2012"
"Skokov, Vladimir","Brookhaven national laboratory","","2012"
"Borsanyi, Szabolcs","University of Wuppertal","","2012"
"Horowitz, William","University of Cape Town","","2012"
"Cebra, Daniel","UC Davis","","2012"
"Voloshin, Sergey","Wayne State University (US)","","2012"
"Trzupek, Adam","Polish Academy of Sciences (PL)","","2012"
"Song, Huichao","The Ohio State University","","2012"
"Teixeira De Almeida Milhano, Guilherme","Instituto Superior Tecnico (PT)","","2012"
"Spousta, Martin","Columbia University and Charles University","","2012"
"Morsch, Andreas","CERN","","2012"
"Veres, Gabor","CERN","","2012"
"Braun-Munzinger, Peter","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2012"
"Hidaka, Yoshimasa","RIKEN Nishina Center","","2012"
"Nouicer, Rachid","Brookhaven National Laboratory (BNL)","","2012"
"Angerami, Aaron Richard","Columbia University (US)","","2012"
"Arsene, Ionut Cristian","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2012"
"Buzzatti, Alessandro","Columbia University","","2012"
"Petreczky, Peter","BNL","","2012"
"Zhang, Xiaoming","Univ. Blaise Pascal Clermont-Fe. II (FR)","","2012"
"Bold, Tomasz","AGH Univ. of Science amp; Technology, Krakow","","2012"
"Lang, Thomas","","","2012"
"Wilde, Martin Rudolf","Westfaelische Wilhelms-Universitaet Muenster (DE)","","2012"
"Betz, Barbara","Frankfurt University","","2012"
"Hemphill, Dustin","Purdue University","","2012"
"Peresunko, Dmitri","National Research Centre Kurchatov Institute (RU)","","2012"
"Petreska, Elena","Graduate Center/Baruch College CUNY","","2012"
"Derendarz, Dominik Karol","Polish Academy of Sciences (PL)","","2012"
"Citron, Zvi","Weizmann Institute of Science (IL)","","2012"
"GU, YI","D","","2012"
"Wu, Yuanfang","Institute of Particle Physics, CCNU, Wuhan, China","","2012"
"Mohapatra, Soumya","State University of New York (US)","","2012"
"Lemmon, Roy Crawford","Engin. & Phys. Sci. Research Coun. (GB)","","2012"
"Hansen, Alexander","University of Copenhagen (DK)","","2012"
"Balek, Petr","Charles University (CZ)","","2012"
"Zaslavsky, David","Penn State University","","2012"
"Rybar, Martin","Charles University (CZ)","","2012"
"Sakai, Shingo","Lawrence Berkeley National Lab. (US)","","2012"
"Yuan, Feng","LBNL","","2012"
"Caffarri, Davide","Universita e INFN (IT)","","2012"
"Yan, Li","Stony Brook University","","2012"
"Retinskaya, Ekaterina","IPhT Saclay","","2012"
"Niida, Takafumi for the PHENIX Collaboration","University of Tsukuba","","2012"
"Cunqueiro, Leticia","Unknown-Unknown-Unknown","","2012"
"kurosawa, maki","RBRC","","2012"
"Peitzmann, Thomas","University of Utrecht (NL)","","2012"
"Trzeciak, Barbara","Warsaw University of Technology","","2012"
"Ghosh, Sanjay","Bose Institute","","2012"
"Grelli, Alessandro","University of Utrecht (NL)","","2012"
"Haggerty, John","Brookhaven National Laboratory","","2012"
"DAS, SABITA","I","","2012"
"Guilbaud, Maxime Rene Joseph","Universite Claude Bernard-Lyon I (FR)","","2012"
"Arbor, Nicolas","Centre National de la Recherche Scientifique (FR)","","2012"
"Reed, Rosi Jan","Yale University (US)","","2012"
"Hori, Yasuto","University of Tokyo (JP)","","2012"
"Shuryak, Edward","stony brook university","","2012"
"Perepelitsa, Dennis","Columbia University","","2012"
"Leogrande, Emilia","Universita e INFN (IT)","","2012"
"Herold, Christoph","","","2012"
"Romatschke, Paul","FIAS Frankfurt","","2012"
"Innocenti, Gian Michele","Universita e INFN (IT)","","2012"
"Yano, Satoshi","Hiroshima University (JP)","","2012"
"Todoroki, Takahito for the PHENIX Collaboration","University of Tsukuba, RIKEN Nishina Center","","2012"
"Jalilian-Marian, Jamal","Baruch College","","2012"
"Schmah, Alexander","Lawrence Berkeley National Lab","","2012"
"Seele, Joseph","RBRC","","2012"
"Xiao, Bowen","","","2012"
"Mukherjee, Swagato","Brookhaven National Laboratory","","2012"
"Bazavov, Alexei","B","","2012"
"Petti, Richard","S","","2012"
"Shukla, Prashant","Bhabha Atomic Research Centre (IN)","","2012"
"Fries, Rainer","Texas A&M University","","2012"
"Lekaveckas, Mindaugas","MIT","","2012"
"Fukuda, Kyohei","Nagoya","","2012"
"Mitchell, Jeffery","Brookhaven National Laboratory","","2012"
"Reynolds, Damian","S","","2012"
"Dolejsi, Jiri","Charles University (CZ)","","2012"
"Doenigus, Benjamin","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2012"
"Gangadharan, Dhevan Raja","Ohio State University (US)","","2012"
"Sievert, Matthew","The Ohio State University","","2012"
"McDonald, Daniel","R","","2012"
"Basar, Gokce","Stony Brook University","","2012"
"Sanders, Stephen James","University of Kansas (US)","","2012"
"Lappi, Tuomas","U","","2012"
"Noferini, Francesco","Universita e INFN (IT)","","2012"
"Frantz, Justin Edward","Ohio University (US)","","2012"
"Haag, Brooke","U","","2012"
"McGlinchey, Darren","F","","2012"
"Hollis, Richard","University of California, Riverside","","2012"
"Shah, Neha","UCLA","","2012"
"shah, neha","University of California Los Angeles","","2012"
"Bozek, Piotr","","","2012"
"Tuchin, Kirill","Iowa State University","","2012"
"Jia, Jiangyong","Brookhaven National Laboratory (BNL)-Unknown-Unknown","","2012"
"Eyyubova, Gyulnara","University of Oslo (NO)","","2012"
"Yi, Li","Purdue University","","2012"
"Grabowska-Bold, Iwona","AGH Univesity of Science and  Technology (PL)","","2012"
"Ding, Heng-Tong","Brookhaven National Lab","","2012"
"Krizek, Filip","Helsinki Institute of Physics (FI)","","2012"
"Teaney, Derek","Stony Brook University","","2012"
"Gossiaux, Pol","Subatech","","2012"
"Tlusty, David","PhD student","","2012"
"Talukdar, Rupalim","Department of Physics, Gauhati University, India","","2012"
"Arnaldi, Roberta","Universita e INFN (IT)","","2012"
"Yang, Hongyan","CEA - Centre d'Etudes de Saclay (FR)","","2012"
"Bäuchle, Björn","FIAS Frankfurt","","2012"
"Majumder, Abhijit","Wayne State University","","2012"
"Mehtar-Tani, Yacine","IPhT-Saclay","","2012"
"Pulawski, Szymon Mateusz","University of Silesia (PL)","","2012"
"Ulery, Jason Glyndwr","Johann-Wolfgang-Goethe Univ. (DE)","","2012"
"Szymanski, Maciej Pawel","Warsaw University of Technology (PL)","","2012"
"Apadula, Nicole","","","2012"
"Schmidt, Christian","Universitaet Bielefeld","","2012"
"Arnold, Peter","University of Virginia","","2012"
"Sahlmueller, Baldo","","","2012"
"Strickland, Michael","Gettysburg College","","2012"
"Florkowski, Wojciech","Institute of nuclear Physics, Krakow","","2012"
"Ortiz Velasquez, Antonio","Lund University (SE)","","2012"
"Luzum, Matthew","IPhT Saclay","","2012"
"Sedrakian, Armen","Frankfurt University","","2012"
"Timmins, Anthony Robert","University of Houston (US)","","2012"
"El, Andrej","University of Frankfurt","","2012"
"Vogt, Ramona","LLNL and UC Davis","","2012"
"De Silva, Chanaka","Wayne State University","","2012"
"Campbell, Sarah","I","","2012"
"Lee, Kwangbok","Losalamos National Laboratory","","2012"
"Solanki, Dronika","University of rajasthan","","2012"
"Woody, Craig","Brookhaven National Lab","","2012"
"Moschelli, George","Frankfurt Institute for Advanced Studies","","2012"
"Konzer, Joshua","","","2012"
"Csanad, Mate","for the TOTEM Collaboration","","2012"
"Gupta, Shikshit","University of Jammu","","2012"
"Sun, Jiayin","Stony Brook University","","2012"
"Campbell, John","T","","2012"
"Saumia, P S","Institute of Physics","","2012"
"Skoda, Libor","Czech Technical University (CZ)","","2012"
"Morita, Kenji","Kyoto University","","2012"
"Vogel, Sascha","Frankfurt Institute for Advances Studies","","2012"
"van Hees, Hendrik","Goethe University Frankfurt","","2012"
"Mackowiak-Pawlowska, Maja Katarzyna","Johann-Wolfgang-Goethe Univ. (DE)","","2012"
"Iida, Hideaki","Kyoto University","","2012"
"Kashiwa, Kouji","RIKEN BNL Research Center","","2012"
"Bouchet, Jonathan","Kent State University","","2012"
