Name,Institute,Country,Year
"Morrison, David","","","2022"
"Stojku, Stefan","","","2022"
"Sakai, Azumi","Sophia University","","2022"
"Robotková, Monika","Nuclear Physics Institute, Czech Academy of Sciences","","2022"
"Mroczek, Débora","University of Illinois at Urbana-Champaign","","2022"
"Mallick, Dukhishyam","National Institute of Science  Education and Research (NISER) (IN)","","2022"
"Lewis, Nicole","Brookhaven National Laboratory","","2022"
"Heffernan, Matthew","McGill University","","2022"
"Fan, Wenqing","Lawrence Berkeley National Lab. (US)","","2022"
"Lesiak, Tadeusz","Polish Academy of Sciences (PL)","","2022"
"Avramescu, Dana","University of Bucharest","","2022"
"Agarwal, Kshitij","Eberhard Karls Universität Tübingen (DE)","","2022"
"Li, Xiujun","USTC","","2022"
"Levai, Peter","Wigner Research Centre for Physics (Wigner RCP) (HU)","","2022"
"Shi, Zhaozhong","Los Alamos National Laboratory","","2022"
"Corliss, Ross","","","2022"
"Sun, Chuan","Stony Brook University","","2022"
"Yin, Yi","Institute of modern physics, Chinese Academy of Sciencessti","","2022"
"Altenkort, Luis","Universität Bielefeld","","2022"
"Ying, Yueyang","Massachusetts Inst. of Technology (US)","","2022"
"Ji, Yuanjing","Lawrence Berkeley National Lab","","2022"
"Yang, Di","Tsinghua University (CN)","","2022"
"Barata, João","","","2022"
"Sharma, Rishabh","Indian Institute of Science Education and Research (IISER) Tirupati","","2022"
"Prozorov, Alexandr","NPI CAS CZ","","2022"
"Fan, Wenkai","","","2022"
"Korodi, Balazs","Eotvos Lorand University (HU)","","2022"
"Csanad, Mate","Eotvos University, Budapest","","2022"
"Rubini, Nicola","Universita e INFN, Bologna (IT)","","2022"
"Ayala, Alejandro","Instituto de Ciencias Nucleares, Universidad Nacional Autonoma de Mexico","","2022"
"Ji, Su-Jeong","Pusan National University (KR)","","2022"
"Sass, Nils","","","2022"
"Wang, Xiaolin","South China Normal University (CN)","","2022"
"Broniowski, Wojciech","IFJ PAN & UJK","","2022"
"Hofman, Bas","Nikhef National institute  for subatomic physics (NL)","","2022"
"Mariani, Saverio","Universita e INFN, Firenze (IT)","","2022"
"Ambrus, Victor E.","","","2022"
"Ambrus, Victor Eugen","West University of Timisoara (RO)","","2022"
"Pliatskas Stylianidis, Christos","Nikhef National institute  for subatomic physics (NL)","","2022"
"Ekert, Artur Konrad","National University of Singapore and Oxford University","","2022"
"Potepa, Patrycja Anna","AGH University of Science and  Technology (PL)","","2022"
"Zherebtsova, Elisaveta","","","2022"
"Antinori, Federico","Universita e INFN, Padova (IT)","","2022"
"Plumberg, Christopher","","","2022"
"Gilbert, Alexander Kevin","","","2022"
"Xu, Haojie","Huzhou University","","2022"
"Zhang, Ziyue","University of Illinois at Chicago","","2022"
"Milov, Alexander","Weizmann Institute of Science (IL)","","2022"
"Rosano, Antonina","Universita e INFN, Catania (IT)","","2022"
"Deb, Suman","Indian Institute of Technology  Indore (IN)","","2022"
"Nassirpour, Adrian Fereydon","Lund University (SE)","","2022"
"Rath, Rutuparna","Indian Institute of Technology  Indore (IN)","","2022"
"Hannigan, Ryan","University of Texas at Austin (US)","","2022"
"zhang, chunjian","","","2022"
"Dixit, Prabhupada","","","2022"
"Gou, Xingrui","","","2022"
"Vaněk, Jan","Nuclear Physics Institute, Czech Academy of Sciences","","2022"
"Pawłowska, Diana","Warsaw University of Technology","","2022"
"Yan, Gaoguo","","","2022"
"HU, YU","","","2022"
"Ikbal, Ashik","","","2022"
"Adams, Joseph","Ohio State University","","2022"
"Liu, Tong","Yale University","","2022"
"Leung, Yue-Hang","Lawrence Berkeley National Laboratory","","2022"
"Sahoo, Aswini Kumar","IISER,Berhampur","","2022"
"mi, ke","","","2022"
"Wang, Xiaofeng","Shandong University","","2022"
"Carvalho Gonçalves, Kayman Jhosef","Unicamp","","2022"
"Daher, Asaad","","","2022"
"Stachel, Johanna","Ruprecht Karls Universitaet Heidelberg (DE)","","2022"
"Kim, Chong","Pusan National University (KR)","","2022"
"Bok, Jeongsu","Inha University (KR)","","2022"
"Sekiguchi, Yuko","University of Tokyo (JP)","","2022"
"Rybczynski, Maciej","Jan Kochanowski University (PL)","","2022"
"Kincses, Dániel","Eötvös Loránd University","","2022"
"Roch, Hendrik","Bielefeld University","","2022"
"Peuron, Jarkko","","","2022"
"Sun, Yifeng","INFN-LNS","","2022"
"Sambataro, Maria Lucia","University of Catania-INFN(LNS)","","2022"
"Becker, Marten","","","2022"
"Luo, Yiheng","Tsinghua University (CN)","","2022"
"Gu, Chenxi","Tsinghua University (CN)","","2022"
"Litvinov, Roman","Universita e INFN, Cagliari (IT)","","2022"
"Sellam, Sara","","","2022"
"Mondal, Santu","Czech Technical University  in Prague (CZ)","","2022"
"Dean, Cameron","Los Alamos National Laboratory (US)","","2022"
"Parida , Tribhuban","IISER Berhampur","","2022"
"Chandra, Soumik","Purdue University (US)","","2022"
"Aizenberg, Iakov","Weizmann Institute of Science (IL)","","2022"
"Kurian, Manu","Indian Institute of Technology Gandhinagar","","2022"
"Ilic (Blagojevic), Bojana","Institute of Physics Belgrade","","2022"
"Schäfer, Anna","Frankfurt Institute for Advanced Studies (FIAS)","","2022"
"Oh, Jongho","Pusan National University (KR)","","2022"
"Ruggieri, Marco","Labzhou University","","2022"
"Mykhaylova, Valeriya","University of Wrocław","","2022"
"Liu, Li-Ke","","","2022"
"Chen, Ding","","","2022"
"Beraudo, Andrea","INFN, sezione di Torino (IT)","","2022"
"Huang, Hao","","","2022"
"Bandyopadhyay, Aritra","","","2022"
"Minissale, Vincenzo","University of Catania - INFN/LNS","","2022"
"Zhao, Jiaxing","Tsinghua University","","2022"
"Capellino, Federica","Ruprecht Karls Universitaet Heidelberg (DE)","","2022"
"Giacalone, Marco","Universita e INFN, Bologna (IT)","","2022"
"SHI, Shuzhe","Stony Brook University","","2022"
"Zhou, Kai","FIAS, Goethe-University Frankfurt am Main","","2022"
"Lebedev, Alexandre","Iowa State University (US)","","2022"
"Liu, Yu-Ming","","","2022"
"Kosarzewski, Leszek","Czech Technical University in Prague","","2022"
"Hachiya, Takashi","Nara Women's University (JP)","","2022"
"collaboration, for the PHENIX","","","2022"
"Lim, Sanghoon","Pusan National University (KR)","","2022"
"Pennisi, Michele","Universita e INFN Torino (IT)","","2022"
"Schenke, Bjoern","Brookhaven National Lab","","2022"
"Li, Ziyang","","","2022"
"Lu, Pengzhong","University of Science and  Technology of China (CN)","","2022"
"zhou, yingjie","central china normal university","","2022"
"Kelsey, Mattew","","","2022"
"Wang, Yan","","","2022"
"Dong, Xin","LBNL","","2022"
"Demmich, Katharina","Westfaelische Wilhelms-Universitaet Muenster (DE)","","2022"
"Palasciano, Antonio","Universita e INFN, Bari (IT)","","2022"
"Thomas, Deepa","University of Texas at Austin (US)","","2022"
"Gyulai, Laszlo","Wigner Research Centre for Physics (Wigner RCP) (HU)","","2022"
"Battistini, Daniel","Universita e INFN Torino (IT)","","2022"
"Khan, Shahid","Eberhard Karls University of Tübingen, Tübingen, Germany","","2022"
"De Moura, Paulo Henrique","IFGW Unicamp","","2022"
"Park, Jonghan","Inha University (KR)","","2022"
"Singh, Vivek","Department of Atomic Energy (IN)","","2022"
"Singh, Randhir","University of Jammu (IN)","","2022"
"Bailung, Yoshini","Indian Institute of Technology  Indore (IN)","","2022"
"Singh, Ravindra","Indian Institute of Technology  Indore (IN)","","2022"
"Isakov, Artem","Czech Academy of Sciences (CZ)","","2022"
"Vogt, Ramona","","","2022"
"Chakraborty, Smita","","","2022"
"Sharma, Himanshu","Polish Academy of Sciences (PL)","","2022"
"Kalteyer, Annalena Sophie","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2022"
"Sheibani, Oveis","University of Houston (US)","","2022"
"Zhang, Biao","Central China Normal University  CCNU (CN)","","2022"
"Bala, Renu","University of Jammu (IN)","","2022"
"Ding, Yanchun","CCNU and IP2I","","2022"
"Khan, Salman Ahamad","Department of Physics, Indian Institute of Technology Roorkee, Roorkee 247 667, India","","2022"
"Sato, Susumu","Japan Atomic Energy Agency  (JP)","","2022"
"Graczykowski, Lukasz Kamil","Warsaw University of Technology (PL)","","2022"
"Qin, Zhi","Tsinghua University","","2022"
"Pablos, Daniel","University of Bergen","","2022"
"Van Der Schee, Wilke","CERN","","2022"
"Nahrgang, Marlene","Subatech","","2022"
"Santos, Liner","Universidade de Sao Paulo","","2022"
"PIHAN, Grégoire","","","2022"
"Blankenship, Brandon","PHENIX Collaboration","","2022"
"Dore, Travis","University of Illinois at Urbana-Champaign","","2022"
"Da Silva, Cesar Luiz","Los Alamos National Laboratory (US)","","2022"
"Yin, Pengqi","Columbia University (US)","","2022"
"Kuznietsov, Volodymyr","","","2022"
"Savchuk, Oleh","Frankfurt Institute for Advanced Studies","","2022"
"Vovchenko, Volodymyr","Lawrence Berkeley National Laboratory","","2022"
"Moschelli, George","Lawrence Technological University","","2022"
"Poberezhnyuk, Roman","Bogolubov Institute for Theoretical Physics","","2022"
"Xu, Zhiwan","","","2022"
"Sahoo, Baidyanath","IIT- Indian Institute of Technology (IN)","","2022"
"Porfy, Barnabas","Wigner Research Centre for Physics (Wigner RCP) (HU)","","2022"
"Cimerman, Jakub","Faculty of Nuclear Sciences and Physical Engineering, Czech Technical University","","2022"
"Trzeciak, Barbara Antonina","Czech Technical University in Prague","","2022"
"Boye, Anna Ingmer","Niels Bohr Institute","","2022"
"Kehn Jensen, Frederik Sebastian","Niels Bohr Institute","","2022"
"Wielanek, Daniel","Warsaw University of Technology, Faculty of Phycis, LHEP JINR","","2022"
"Grunwald, Mateusz","Warsaw Universty of Technology","","2022"
"Rzesa, Wioleta","Warsaw University of Technology (PL)","","2022"
"Zabrodin, Evgeny","University of Oslo and SINP MSU","","2022"
"Grassi, Frederique","","","2022"
"Bravina, Larisa","University of Oslo","","2022"
"Barej, Michał","","","2022"
"Tomasik, Boris","Univerzita Mateja Bela (SK)","","2022"
"Anaam, Mustafa","Central China Normal University  CCNU (CN)","","2022"
"Sputowska, Iwona Anna","Polish Academy of Sciences (PL)","","2022"
"Wu, Jin","Central China Normal University","","2022"
"Czopowicz, Tobiasz","Jan Kochanowski University, Warsaw University of Technology","","2022"
"Isshiki, Moe","","","2022"
"li, changfeng","","","2022"
"Chakraborty, Pritam","IITB- Indian Institute of Technology Bombay (IN)","","2022"
"Tripathy, Tulika","IIT- Indian Institute of Technology (IN)","","2022"
"Davis, Nikolaos","Institute of Nuclear Physics, Polish Academy of Sciences (PL)","","2022"
"Singh, Bhawani","Technical University of Munich, Germany","","2022"
"DAS, ARPAN","Institute of Nuclear Physics Polish Academy of Sciences Krakow, Poland","","2022"
"Sharma, Sheetal","University of Jammu (IN)","","2022"
"Mordasini, Cindy","University of Jyväskylä (FI)","","2022"
"Lesch, Marcel Markus","Technische Universitaet Muenchen (DE)","","2022"
"De, Aritra","University of Minnesota, Twin-cities","","2022"
"Karthein, Jamie","MIT","","2022"
"Saha, Swati","National Institute of Science  Education and Research (NISER) (IN)","","2022"
"Padula, Sandra","UNESP - Universidade Estadual  Paulista (BR)","","2022"
"Alqahtani, Mubarak","Imam Abdulrahman Bin Faisal University","","2022"
"Pandav, Ashish","NISER, India","","2022"
"Szymański, Paweł","","","2022"
"Hammelmann, Jan","Frankfurt Institute for Advanced Studies (FIAS)","","2022"
"Ball Cap, Jonathan Gonzalo","University of Houston","","2022"
"Bell Hechavarria, Ailec","Westfaelische Wilhelms-Universitaet Muenster (DE)","","2022"
"Kotliarov, Artem","Czech Academy of Sciences (CZ)","","2022"
"Hughes, Charles","University of Tennessee (US)","","2022"
"Mazzaschi, Francesco","Universita e INFN Torino (IT)","","2022"
"Basar, Kemal","University of North Carolina, Chapel Hill","","2022"
"Scheihing Hitschfeld, Bruno Sebastian","Massachusetts Institute of Technology","","2022"
"Speranza, Enrico","University of Illinois at Urbana-Champaign","","2022"
"Salazar, Farid","UCLA","","2022"
"Krelina, Michal","Czech Technical University in Prague","","2022"
"Li, Feng","Lanzhou University","","2022"
"Lappi, Tuomas","","","2022"
"Heyen, Lars Helge","Heidelberg University","","2022"
"Yao, Xiaojun","Massachusetts Institute of Technology","","2022"
"Isaksen, Johannes Hamre","University of Bergen","","2022"
"Tinti, Leonardo","Goethe University","","2022"
"Iqbal, Shahin","National Centre for Physics","","2022"
"Mendenhall, Todd","East Carolina University","","2022"
"Kolbe, Isobel","Institute for Nuclear Theory","","2022"
"Lushozi, Mawande","University of Washington","","2022"
"Agrawal, Neelima","Universita e INFN, Bologna (IT)","","2022"
"Panda, Ankit Kumar","NATIONAL INSTITUTE OF SCIENCE EDUCATION AND RESEARCH","","2022"
"Volkotrub, Yuriy","AGH University of Science and Technology","","2022"
"Tantary, Ubaid","Kent State University","","2022"
"Brito, Caio","Universidade Federal Fluminense","","2022"
"Gursoy, Umut","Utrecht university ","","2022"
"Chattopadhyay, Chandrodoy","North Carolina State University","","2022"
"Ochsenfeld, Stephan","","","2022"
"Bratkovskaya, Elena","GSI, Darmstadt & Frankfurt Uni.","","2022"
"Li, Meijian","University of Jyväskylä","","2022"
"Korcyl, Piotr","Jagiellonian University","","2022"
"Mehtar-Tani, Yacine","Brookhaven National Laboratory","","2022"
"Palermo, Andrea","","","2022"
"Bilandzic, Ante","Technische Universitaet Muenchen (DE)","","2022"
"Sogabe, Noriyuki","Institute of Modern Physics, Chinese Academy of Sciences","","2022"
"Murray, Michael","The University of Kansas (US)","","2022"
"Murillo Quijada, Javier Alberto","Universidad de Sonora (MX)","","2022"
"Takahama, Runa","Nara Women's University","","2022"
"Schaefer, Wolfgang","","","2022"
"Ogrodnik, Agnieszka Ewa","AGH University of Science and  Technology (PL)","","2022"
"Bendova, Dagmar","Czech Technical University in Prague (FNSPE)","","2022"
"Almaalol, Dekrayat","University of Illinois Urbana-Champaign","","2022"
"Noronha-Hostler, Jacquelyn","University of Illinois Urbana Champaign","","2022"
"Lacey, Roy Alphanso","","","2022"
"Veiga Giannini, Andre","","","2022"
"Chlad, Lukáš","Nuclear Physics Institute of the CAS and Faculty of Nuclear Sciences and Physical Engineering, Czech Technical University in Prague","","2022"
"Du, Lipei","McGill University","","2022"
"Chiu, Cheng","Wayne State University","","2022"
"Khan, Ahsan Mehmood","Central China Normal University  CCNU (CN)","","2022"
"Zhao, Wenbin","Wayne State University","","2022"
"Mechler, Adrian Florin","Goethe University Frankfurt (DE)","","2022"
"Sharma, Natasha","Panjab University (IN)","","2022"
"Schild, Niklas","","","2022"
"Floerchinger, Stefan","Heidelberg University","","2022"
"Wiest, Maximilian","","","2022"
"Drees, Axel","","","2022"
"Coquet, Maurice Louis","Université Paris-Saclay (FR)","","2022"
"Garcia-Montero, Oscar","Institut für Theoretische Physik, Johann Wolfgang Goethe-Universität","","2022"
"Sas, Mike Henry Petrus","Yale University (US)","","2022"
"Jackson, Greg","INT, University of Washington","","2022"
"Sirimanna, Chathuranga","Wayne State University","","2022"
"Chatterjee, Sayak","Bose Institute (Kolkata)","","2022"
"Paquet, Jean-Francois","Duke University","","2022"
"Wang, Zeyan","Tsinghua University","","2022"
"Rozplochowski, Lukasz","Institute of Nuclear Physics Polish Academy of Sciences","","2022"
"Duckworth, Edwin","","","2022"
"Bencedi, Gyula","Wigner Research Centre for Physics (Wigner RCP) (HU)","","2022"
"Parkkila, Jasper","University of Jyvaskyla (FI)","","2022"
"Luhder, Jens Robert","Westfaelische Wilhelms-Universitaet Muenster (DE)","","2022"
"Duan, Xiang-Pan","Fudan University","","2022"
"Yano, Satoshi","Hiroshima University (JP)","","2022"
"Zhao, Mingrui","China Institute of Atomic Energy (CN)","","2022"
"Eder, Tabea Maria","Westfaelische Wilhelms-Universitaet Muenster (DE)","","2022"
"Doomra, Vassu","Stony Brook University","","2022"
"Zhao, Xinli","","","2022"
"Verkest, Veronica","Wayne State University","","2022"
"Ryu, Jaehyeok","Pusan National University (KR)","","2022"
"Patra, Rajendra Nath","CERN","","2022"
"Todoroki, Takahito","University of Tsukuba","","2022"
"Baty, Austin Alan","Rice University (US)","","2022"
"Li, Wei","Rice University (US)","","2022"
"Gardner, Parker","Rice University (US)","","2022"
"Gangadharan, Dhevan","University of Houston (US)","","2022"
"Nagle, James Lawrence","University of Colorado Boulder","","2022"
"Belmont, Ron","University of North Carolina at Greensboro","","2022"
"Gonzalez, Victor","Wayne State University (US)","","2022"
"Alfanda, Haidar Mas'ud","Central China Normal University  CCNU (CN)","","2022"
"Banerjee, Debjani","Bose Institute (IN)","","2022"
"Das, Prottoy","Bose Institute (IN)","","2022"
"Sharma, Meenakshi","University of Jammu (IN)","","2022"
"Tork, Theraa M A","Université Paris-Saclay (FR)","","2022"
"Padhan, Sonali","IIT- Indian Institute of Technology (IN)","","2022"
"Tachibana, Yasuki","Akita International University","","2022"
"Wilczek, Frank","MIT","","2022"
"Tomalak, Oleksandr","","","2022"
"Innocenti, Gian Michele","CERN","","2022"
"Kremer, Jakub","Johannes Gutenberg Universitaet  Mainz (DE)","","2022"
"Liu, Jun-Hong","Central China Normal University","","2022"
"Kanakubo, Yuuka","","","2022"
"Fu, Wei-jie","Dalian University of Technology","","2022"
"Motornenko, Anton","Frankfurt Institute for Advanced Studies","","2022"
"Boguslavski, Kirill","Vienna University of Technology (AT)","","2022"
"Bala, Dibyendu","","","2022"
"Kara, Ruben","","","2022"
"Szymanski, Michal","University of Wroclaw","","2022"
"Mishra, Hiranmaya","Physical Research Laboratory, Ahmedabad","","2022"
"Song, Huichao","","","2022"
"Reichert, Tom","","","2022"
"Mroczek, Debora","University of Illinois at Urbana-Champaign","","2022"
"Zigic, Dusan","Institute of Physics Belgrade","","2022"
"Hernández Ortiz, Saúl Fernando","Institute for Nuclear Theory","","2022"
"Kovács, Győző","Wigner RCP","","2022"
"Navarrete, Pablo","Universidad del Bio-Bio","","2022"
"Plaschke, Philip","Bielefeld University","","2022"
"Strickland, Michael","Kent State University","","2022"
"Giacosa, Francesco","Kielce University","","2022"
"Grefa, Joaquin","","","2022"
"JAFARZADE, SHAHRIYAR","Jan Kochanowski University of Kielce, Poland","","2022"
"Singh, Mayank","McGill University","","2022"
"Taghavi, Seyed Farid","Technische Universitaet Muenchen (DE)","","2022"
"Soloveva, Olga","Goethe University Frankfurt","","2022"
"Ratti, Claudia","","","2022"
"Pradeep, Maneesha","UIC","","2022"
"Singh, Jagbir","Panjab University, Chandigarh","","2022"
"Liu, Peifeng","Stony Brook University","","2022"
"Cartwright, Casey","The University of Alabama","","2022"
"Huang, Xu-Guang","","","2022"
"Ryu, Sangwook","Wayne State University","","2022"
"Matioli Serenone, Willian","Universidade de São Paulo","","2022"
"Zhao, Jie","Purdue University","","2022"
"Chen, Zhengyu","","","2022"
"Vitiuk, Oleksandr","University of Wroclaw, Institute of Theoretical Physics","","2022"
"Fang, Shuo","","","2022"
"Pu, Shi","","","2022"
"Yang, Di-Lun","University of Crete","","2022"
"Yan, Li","Fudan University","","2022"
"Tuchin, Kirill","","","2022"
"Okubo, Kosuke","","","2022"
"Liao, Jinfeng","","","2022"
"Bondar, Yehor","Jan Kochanowski University (PL)","","2022"
"Singh, Rajeev","Institute of Nuclear Physics Polish Academy of Sciences","","2022"
"Shokri, Masoud","Goethe University","","2022"
"Sadooghi, Neda","Sharif University of Technology","","2022"
"Wu, Wenya","Fudan University (CN)","","2022"
"Elfner, Hannah","","","2022"
"Rischke, Dirk","University Frankfurt","","2022"
"Sheng, Xin-Li","Central China Normal University","","2022"
"BHADURY, SAMAPAN","","","2022"
"Yi, Cong","","","2022"
"Niida, Takafumi","","","2022"
"Ji, Zhongling","UCLA","","2022"
"Khuntia, Arvind","","","2022"
"Jaiswal, Amaresh","National Institute of Science Education and Research","","2022"
"Feng, Yicheng","Purdue University","","2022"
"Zhang, Chao","Central China Normal University","","2022"
"Zhang, Yuan-Yuan","CUHK-SZ","","2022"
"Soeder, Derek","Duke University","","2022"
"Hänninen, Henri","University of Jyväskylä","","2022"
"Törnkvist, Robin","Lund University","","2022"
"Fortier, Nicolas Miro","","","2022"
"Schuh, Daniel","Vienna University of Technology","","2022"
"Iancu, Edmond","Université Paris-Saclay (FR)","","2022"
"Carzon, Patrick","","","2022"
"Jia, Jiangyong","Stony Brook University (US)","","2022"
"Robicheaux, Stephen","Texas A&M University","","2022"
"Fries, Rainer","Texas A&M University","","2022"
"Lindenbauer, Florian","TU Wien","","2022"
"Tywoniuk, Konrad","University of Bergen (NO)","","2022"
"Bailey, Virginia","Univ. Illinois at Urbana Champaign (US)","","2022"
"Mondal, M. M.","CFNS, Department of Physics and Astronomy, Stony Brook University, Stony Brook, NY","","2022"
"Chien, Y.-T.","Physics and Astronomy Department, Georgia State University, Atlanta, GA","","2022"
"Brodsky, Quinn","","","2022"
"Lai, Yue Shi","Lawrence Berkeley National Lab. (US)","","2022"
"Ke, Weiyao","Los Alamos National Laboratory","","2022"
"Cao, Shanshan","Shandong University","","2022"
"Takacs, Adam","University of Bergen","","2022"
"Barreto De Oliveira Campos, Leonardo","Universidade de Sao Paulo (BR)","","2022"
"Zou, Wenkai","Columbia University (US)","","2022"
"Go, Yeonju","University of Colorado Boulder (US)","","2022"
"Caucal, Paul","Brookhaven National Laboratory","","2022"
"Lajoie, John","Iowa State University","","2022"
"Saha, Sumit Kumar","VECC","","2022"
"Mulligan, James","University of California, Berkeley (US)","","2022"
"Luo, Tan","IGFAE","","2022"
"Vertesi, Robert","Wigner Research Centre for Physics (Wigner RCP) (HU)","","2022"
"Rohrmoser, Martin","IFJ-PAN Krakow","","2022"
"GONZALEZ MARTINEZ, MARCOS","IGFAE - Universidade de Santiago de Compostela (ES)","","2022"
"Guerrero Rodríguez, Pablo","University of Jyväskylä","","2022"
"Czajka, Alina","National Centre for Nuclear Research","","2022"
